iter	Passed	Remaining
628	10895	6426
629	10913	6409
630	10930	6391
631	10946	6373
632	10962	6355
633	10979	6338
634	10995	6320
635	11012	6302
636	11028	6284
637	11047	6268
638	11063	6250
639	11080	6232
640	11096	6214
641	11113	6197
642	11129	6178
643	11145	6161
644	11161	6143
645	11180	6126
646	11198	6109
647	11216	6092
648	11236	6076
649	11254	6060
650	11271	6042
651	11290	6026
652	11309	6009
653	11328	5993
654	11352	5979
655	11368	5961
656	11384	5943
657	11401	5926
658	11417	5907
659	11432	5889
660	11449	5871
661	11465	5853
662	11481	5835
663	11497	5817
664	11515	5800
665	11532	5783
666	11548	5765
667	11564	5747
668	11581	5730
669	11601	5714
670	11618	5696
671	11637	5680
672	11653	5662
673	11669	5644
674	11686	5626
675	11704	5610
676	11720	5592
677	11738	5575
678	11754	5556
679	11769	5538
680	11787	5521
681	11804	5504
682	11818	5485
683	11841	5470
684	11857	5452
685	11872	5434
686	11891	5417
687	11909	5400
688	11927	5383
689	11944	5366
690	11962	5349
691	11983	5333
692	12002	5316
693	12020	5300
694	12040	5283
695	12056	5266
696	12073	5248
697	12092	5232
698	12108	5214
699	12124	5196
700	12140	5178
701	12158	5161
702	12175	5144
703	12195	5127
704	12211	5109
705	12230	5093
706	12249	5076
707	12268	5059
708	12285	5042
709	12303	5025
710	12319	5007
711	12336	4990
712	12354	4972
713	12371	4955
714	12389	4938
715	12405	4920
716	12428	4905
717	12443	4887
718	12459	4869
719	12476	4852
720	12494	4834
721	12513	4818
722	12529	4800
723	12545	4782
724	12563	4765
725	12578	4747
726	12597	4730
727	12613	4712
728	12629	4695
729	12646	4677
730	12662	4659
731	12679	4642
732	12698	4625
733	12716	4608
734	12734	4591
735	12750	4573
736	12768	4556
737	12784	4538
738	12801	4521
739	12819	4504
740	12839	4487
741	12860	4471
742	12881	4455
743	12901	4439
744	12922	4423
745	12940	4405
746	12959	4389
747	12977	4372
748	12993	4354
749	13010	4336
750	13025	4318
751	13042	4301
752	13059	4283
753	13077	4266
754	13094	4249
755	13112	4232
756	13139	4217
757	13156	4200
758	13172	4182
759	13189	4165
760	13204	4146
761	13219	4128
762	13235	4111
763	13250	4093
764	13266	4075
765	13281	4057
766	13296	4039
767	13313	4021
768	13329	4004
769	13345	3986
770	13360	3968
771	13378	3951
772	13396	3933
773	13415	3917
774	13431	3899
775	13447	3881
776	13463	3864
777	13479	3846
778	13495	3828
779	13516	3812
780	13532	3794
781	13548	3777
782	13564	3759
783	13582	3742
784	13597	3724
785	13615	3707
786	13631	3689
787	13647	3671
788	13664	3654
789	13682	3637
790	13700	3620
791	13719	3603
792	13739	3586
793	13757	3569
794	13777	3552
795	13794	3535
796	13813	3518
797	13829	3500
798	13845	3483
799	13861	3465
800	13877	3447
801	13893	3429
802	13911	3412
803	13929	3395
804	13946	3378
805	13964	3361
806	13981	3343
807	13998	3326
808	14014	3308
809	14029	3290
810	14045	3273
811	14062	3255
812	14079	3238
813	14094	3220
814	14110	3203
815	14127	3185
816	14146	3168
817	14165	3151
818	14185	3134
819	14203	3117
820	14222	3100
821	14240	3083
822	14262	3067
823	14280	3050
824	14297	3032
825	14315	3015
826	14334	2998
827	14350	2981
828	14368	2963
829	14387	2946
830	14407	2930
831	14424	2912
832	14440	2895
833	14457	2877
834	14473	2860
835	14490	2842
836	14506	2825
837	14525	2808
838	14544	2790
839	14561	2773
840	14580	2756
841	14598	2739
842	14617	2722
843	14634	2704
844	14652	2687
845	14667	2669
846	14682	2652
847	14698	2634
848	14714	2617
849	14731	2599
850	14748	2582
851	14767	2565
852	14784	2547
853	14799	2530
854	14815	2512
855	14831	2495
856	14860	2479
857	14880	2462
858	14897	2445
859	14915	2428
860	14933	2410
861	14951	2393
862	14967	2376
863	14985	2358
864	15001	2341
865	15018	2323
866	15035	2306
867	15050	2288
868	15066	2271
869	15082	2253
870	15098	2236
871	15114	2218
872	15133	2201
873	15152	2184
874	15168	2166
875	15185	2149
876	15202	2132
877	15218	2114
878	15234	2097
879	15251	2079
880	15269	2062
881	15285	2045
882	15301	2027
883	15318	2010
884	15335	1992
885	15352	1975
886	15369	1957
887	15386	1940
888	15402	1923
889	15419	1905
890	15435	1888
891	15452	1870
892	15468	1853
893	15494	1837
894	15508	1819
895	15523	1801
896	15540	1784
897	15557	1767
898	15573	1749
899	15590	1732
900	15606	1714
901	15623	1697
902	15639	1679
903	15657	1662
904	15673	1645
905	15690	1627
906	15705	1610
907	15722	1593
908	15740	1575
909	15757	1558
910	15773	1540
911	15790	1523
912	15807	1506
913	15824	1488
914	15842	1471
915	15859	1454
916	15877	1437
